"CODE","DESCRIPTION_DE","DESCRIPTION_PL","NAME_DE","NAME_PL"
"CZ660","","PL ","Katalog Czeski Lipiec 2022 (10 szt.)","PL Katalog Czeski Lipiec 2022 (10 szt.)"
"4591","","PL ","OBIERACZKA Z OTWIERACZEM 13.8*6*2,4 cm blue, pantone 299c","PL OBIERACZKA Z OTWIERACZEM 13.8*6*2,4 cm blue, pantone 299c"
"4419","","PL ","Tarka z pojemnikiem","PL Tarka z pojemnikiem"
"0003","","PL ","Łatwy start krok 1","PL Łatwy start krok 1"
"0212","","PL ","Łatwy start krok 2","PL Łatwy start krok 2"
"7146","","PL ","Natural Collagen + Eliksir piękna - Collagen","PL Natural Collagen + Eliksir piękna - Collagen"
"8565","","PL ","Komplet sztućców (24 elementy)","PL Komplet sztućców (24 elementy)"
"ML108","","PL ","Woda perfumowana La Rosita","PL Woda perfumowana La Rosita"
"ML103","","PL ","Woda perfumowana Victory","PL Woda perfumowana Victory"
"500064","<h4><big>Informacje</big></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom.<br />Męski i zdecydowany, intryguje oryginalnymi nutami.<br />Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem.<br />Jaśmin i różowy pieprz rozpalają zmysły.</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom.<br />Męski i zdecydowany, intryguje oryginalnymi nutami.<br />Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem.<br />Jaśmin i różowy pieprz rozpalają zmysły.</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Spartan 10 ml","PL Perfumetka Spartan 10 ml"
"500060","<h4><big>Informacje</big></h4><p>Szklana butelka z atomizerem.<strong><br /></strong></p><p>Zapach przeznaczony dla aktywnych, dynamicznych mężczyzn, którzy w tętniących życiem miastach czują się wspaniale.<br />Mieszanka nut zapachowych tworzy zapach sportowy a jednocześnie elegancki.</p><p><strong>Nuta głowy</strong></p><p>grejpfrut, mandarynka, nuty morskie</p><p><strong>Nuta serca</strong></p><p>jaśmin, liść laurowy</p><p><strong>Nuta podstawy</strong></p><p>drzewo gwajakowe, ambra, paczuli, mech dębowy</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p>Szklana butelka z atomizerem.<strong><br /></strong></p><p>Zapach przeznaczony dla aktywnych, dynamicznych mężczyzn, którzy w tętniących życiem miastach czują się wspaniale.<br />Mieszanka nut zapachowych tworzy zapach sportowy a jednocześnie elegancki.</p><p><strong>Nuta głowy</strong></p><p>grejpfrut, mandarynka, nuty morskie</p><p><strong>Nuta serca</strong></p><p>jaśmin, liść laurowy</p><p><strong>Nuta podstawy</strong></p><p>drzewo gwajakowe, ambra, paczuli, mech dębowy</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Victory 10 ml","PL Perfumetka Victory 10 ml"
"500058","<h4><big>Informacje</big></h4><p><strong>Dla Kobiet podążających swoją własną drogą.</strong></p><p>Ten piękny kwiatowy zapach przeznaczony jest dla pewnej siebie kobiety, podążającej swoją własną drogą. Kusi swoją lekkością, świeżością oraz elegancją.</p><p><strong>Nuta głowy</strong></p><p>kaktus</p><p><strong>Nuta serca</strong></p><p>jaśmin, róża, frezja</p><p><strong>Nuta podstawy</strong></p><p>nuty drzew, cedr</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p><strong>Dla Kobiet podążających swoją własną drogą.</strong></p><p>Ten piękny kwiatowy zapach przeznaczony jest dla pewnej siebie kobiety, podążającej swoją własną drogą. Kusi swoją lekkością, świeżością oraz elegancją.</p><p><strong>Nuta głowy</strong></p><p>kaktus</p><p><strong>Nuta serca</strong></p><p>jaśmin, róża, frezja</p><p><strong>Nuta podstawy</strong></p><p>nuty drzew, cedr</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Lato w Toskanii 10 ml","PL Perfumetka Lato w Toskanii 10 ml"
"5032","<h4><big>Informacje</big></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.</p><p></p><p style=""margin-bottom:0cm;line-height:100%;""><strong>Kategoria zapachu</strong></p><p></p><p style=""margin-bottom:0cm;line-height:100%;"">kwiatowa</p><p></p><p><strong>Nuta głowy</strong></p><p>piwonia, frezja, liczi</p><p><strong>Nuta serca</strong></p><p>magnolia, róża, konwalia</p><p><strong>Nuta bazy</strong></p><p>ambra, drewno cedrowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.</p><p></p><p style=""margin-bottom:0cm;line-height:100%;""><strong>Kategoria zapachu</strong></p><p></p><p style=""margin-bottom:0cm;line-height:100%;"">kwiatowa</p><p></p><p><strong>Nuta głowy</strong></p><p>piwonia, frezja, liczi</p><p><strong>Nuta serca</strong></p><p>magnolia, róża, konwalia</p><p><strong>Nuta bazy</strong></p><p>ambra, drewno cedrowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka La Rosita 10 ml","PL Perfumetka La Rosita 10 ml"
"5031","<h4><big>Informacje</big></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia.</p><p><strong>Nuta głowy</strong></p><p>migdał, kawa</p><p><strong>Nuta serca</strong></p><p>tuberoza, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>fasolka tonka, kakao, drzewo sandałowe i wanilia</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia.</p><p><strong>Nuta głowy</strong></p><p>migdał, kawa</p><p><strong>Nuta serca</strong></p><p>tuberoza, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>fasolka tonka, kakao, drzewo sandałowe i wanilia</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Caramella 10 ml","PL Perfumetka Caramella 10 ml"
"5012","<h4><big>Informacje</big></h4><p><strong><span style=""color:#2445a2;"">Dla Kobiety tajemniczej i intrygującej.</span><br /><br /></strong>Soczyste pomarańcze, jaśmin i ognisty imbir tworzą uwodzicielską kompozycję, rozgrzewającą zmysły jak lato na południu Hiszpanii. Intrygujące połączenie wanilii z solą nadaje całości tajemniczy, kuszący charakter.<strong><br /><br />Nuta głowy<br /></strong>jaśmin, pomarańcza, imbir<strong><br /><br />Nuta serca<br /></strong>wanilia, sól<strong><br /><br />Nuta podstawy<br /></strong>kaszmir, drzewo sandałowe, ambra<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p><strong><span style=""color:#2445a2;"">Dla Kobiety tajemniczej i intrygującej.</span><br /><br /></strong>Soczyste pomarańcze, jaśmin i ognisty imbir tworzą uwodzicielską kompozycję, rozgrzewającą zmysły jak lato na południu Hiszpanii. Intrygujące połączenie wanilii z solą nadaje całości tajemniczy, kuszący charakter.<strong><br /><br />Nuta głowy<br /></strong>jaśmin, pomarańcza, imbir<strong><br /><br />Nuta serca<br /></strong>wanilia, sól<strong><br /><br />Nuta podstawy<br /></strong>kaszmir, drzewo sandałowe, ambra<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Lato w Andaluzji 10 ml","PL Perfumetka Lato w Andaluzji 10 ml"
"0404","","PL ","Łatwy start krok 3","PL Łatwy start krok 3"
"500059","<h4><big>Informacje</big></h4><p>Dla Kobiet tryskających energią.</p><p>Zapach, który sprawi, że każdego dnia na twarzy kobiety pojawi się uśmiech. Przeznaczona dla pań pozytywnie nastawionych do życia i tryskających energią. Jest symbolem wolności i wiary.</p><p><strong>Nuta głowy</strong></p><p>czarna porzeczka, gruszka</p><p><strong>Nuta serca</strong></p><p>irys, kwiat pomarańczy, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>paczula, wanilia, fasola Tonka</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p>Dla Kobiet tryskających energią.</p><p>Zapach, który sprawi, że każdego dnia na twarzy kobiety pojawi się uśmiech. Przeznaczona dla pań pozytywnie nastawionych do życia i tryskających energią. Jest symbolem wolności i wiary.</p><p><strong>Nuta głowy</strong></p><p>czarna porzeczka, gruszka</p><p><strong>Nuta serca</strong></p><p>irys, kwiat pomarańczy, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>paczula, wanilia, fasola Tonka</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>","Perfumetka Lato w Prowansji 10 ml","PL Perfumetka Lato w Prowansji 10 ml"
"ML003","<p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>","PL <p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>","Torebka prezentowa Blue Nature (1 szt.)","PL Torebka prezentowa Blue Nature (1 szt.)"
"4558","","PL ","Puszka na kawę  - czarna","PL Puszka na kawę  - czarna"
"ML020","<ul><li>Ekologiczna</li><li>Prosta</li><li>Elegancka</li><li>Idealna na produkty Blue Nature i nie tylko</li><li>Wymiary: 230 x 83 x 180 mm</li></ul>","PL <ul><li>Ekologiczna</li><li>Prosta</li><li>Elegancka</li><li>Idealna na produkty Blue Nature i nie tylko</li><li>Wymiary: 230 x 83 x 180 mm</li></ul>","Torebka papierowa ECO Blue Nature","PL Torebka papierowa ECO Blue Nature"
"ML022","<h4><big>Informacje</big></h4><p><span style=""color:#2445a2;""><strong>Dla Kobiety romantycznej i zmysłowej.</strong></span><br /><br />Orzeźwiająca i zarazem pełna słodyczy. Romantyczna jak lato w Wenecji, zmysłowa jak jaśmin królujący w nucie serca.<br /><br /><strong>Nuta głowy</strong><br />cytryna, liście mięty, różowy pieprz<br /><br /><strong>Nuta serca</strong><br />jaśmin<br /><br /><strong>Nuta podstawy</strong><br />cedr, brązowy cukier, drzewo kaszmirowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big></h4><p><span style=""color:#2445a2;""><strong>Dla Kobiety romantycznej i zmysłowej.</strong></span><br /><br />Orzeźwiająca i zarazem pełna słodyczy. Romantyczna jak lato w Wenecji, zmysłowa jak jaśmin królujący w nucie serca.<br /><br /><strong>Nuta głowy</strong><br />cytryna, liście mięty, różowy pieprz<br /><br /><strong>Nuta serca</strong><br />jaśmin<br /><br /><strong>Nuta podstawy</strong><br />cedr, brązowy cukier, drzewo kaszmirowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","Miniaturka perfum Lato w Wenecji 1 ml","PL Miniaturka perfum Lato w Wenecji 1 ml"
"ML025","<p>W sam raz do pakowania, transportu i przechowywania dowolnych produktów Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku z uchwytem. Trwałe, wytrzymałe, wodoodporne, wykonane z folii.</p><ul><li>Wymiary: 32 x 9 x 55 cm</li></ul>","PL <p>W sam raz do pakowania, transportu i przechowywania dowolnych produktów Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku z uchwytem. Trwałe, wytrzymałe, wodoodporne, wykonane z folii.</p><ul><li>Wymiary: 32 x 9 x 55 cm</li></ul>","Reklamówki dla klientów (10 szt.)","PL Reklamówki dla klientów (10 szt.)"
"ML026","<p>W sam raz do pakowania, transportu i przechowywania dowolnych  produktów  Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku. Super mocne, trwałe, wytrzymałe, wodoodporne, wykonane z grubej folii o wysokiej gęstości.</p><ul><li>Wymiary: 36,3 x 8 x 34,4 cm</li></ul>","PL <p>W sam raz do pakowania, transportu i przechowywania dowolnych  produktów  Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku. Super mocne, trwałe, wytrzymałe, wodoodporne, wykonane z grubej folii o wysokiej gęstości.</p><ul><li>Wymiary: 36,3 x 8 x 34,4 cm</li></ul>","Reklamówki do startera (1 szt.)","PL Reklamówki do startera (1 szt.)"
"ML027","","PL ","Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt.","PL Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt."
"ML028","<p>Klientki uwielbiają próbować! <br />Od teraz możesz rozdawać swoim Klientkom próbki kremu Hydroclinic do twarzy (2 ml) – świetne narzędzie sprzyjające wzrostowi sprzedaży.<br /><br />Dostępne w pakietach po 5 sztuk.</p>","PL <p>Klientki uwielbiają próbować! <br />Od teraz możesz rozdawać swoim Klientkom próbki kremu Hydroclinic do twarzy (2 ml) – świetne narzędzie sprzyjające wzrostowi sprzedaży.<br /><br />Dostępne w pakietach po 5 sztuk.</p>","Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt","PL Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt"
"ML029","<p>Stylowy piórnik z logo Betterware i Blue Nature na 10 próbek zapachów to profesjonalne narzędzie prezentowania próbek klientom! Wykonany ze skóry eko wysokiej jakości, w kolorze granatowym, wyścielany tkaniną przypominającą welurową, zamykany na zamek błyskawiczny. Na zewnętrznej części wytłoczone logo Betterware i Blue Nature.</p>
<p>Piórnik nie zawiera próbek.</p>","PL <p>Stylowy piórnik z logo Betterware i Blue Nature na 10 próbek zapachów to profesjonalne narzędzie prezentowania próbek klientom! Wykonany ze skóry eko wysokiej jakości, w kolorze granatowym, wyścielany tkaniną przypominającą welurową, zamykany na zamek błyskawiczny. Na zewnętrznej części wytłoczone logo Betterware i Blue Nature.</p>
<p>Piórnik nie zawiera próbek.</p>","Piórnik na próbki zapachów","PL Piórnik na próbki zapachów"
"ML030","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom. Męski i zdecydowany, intryguje oryginalnymi nutami. Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem. Jaśmin i różowy pieprz rozpalają zmysły.<br /><br /><strong>Nuta głowy</strong><br />kadzidło, gałka muszkatołowa, grejpfrut, cytryna<br /><br /><strong>Nuta serca</strong><br />drzewo sandałowe, bursztyn, różowy pieprz<br /><br /><strong>Nuta bazy</strong><br />jaśmin, imbir, paczuli<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom. Męski i zdecydowany, intryguje oryginalnymi nutami. Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem. Jaśmin i różowy pieprz rozpalają zmysły.<br /><br /><strong>Nuta głowy</strong><br />kadzidło, gałka muszkatołowa, grejpfrut, cytryna<br /><br /><strong>Nuta serca</strong><br />drzewo sandałowe, bursztyn, różowy pieprz<br /><br /><strong>Nuta bazy</strong><br />jaśmin, imbir, paczuli<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","Miniaturka męskiej wody perfumowanej Spartan","PL Miniaturka męskiej wody perfumowanej Spartan"
"ML031","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","Miniaturka wody perfumowanej Caramella","PL Miniaturka wody perfumowanej Caramella"
"ML032","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","PL <h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>","Miniaturka wody perfumowanej La Rosita","PL Miniaturka wody perfumowanej La Rosita"
"ML033","<p>Rozdaj klientkom próbki zawierające krem naprawczy  do twarzy i pod oczy Collagen Booster. <br />Próbki to doskonałe narzędzie zwiększające sprzedaż - klientki uwielbiają testować kosmetyki.</p><ul><li>Pojemność: 1,5 ml</li><li>1 szt.</li></ul>","PL <p>Rozdaj klientkom próbki zawierające krem naprawczy  do twarzy i pod oczy Collagen Booster. <br />Próbki to doskonałe narzędzie zwiększające sprzedaż - klientki uwielbiają testować kosmetyki.</p><ul><li>Pojemność: 1,5 ml</li><li>1 szt.</li></ul>","Próbka kremu do twarzy i pod oczy Collagen Booster, 1,5 ml – 1 szt.","PL Próbka kremu do twarzy i pod oczy Collagen Booster, 1,5 ml – 1 szt."
"ML040","<p>Wykorzystaj nowe narzędzie ułatwiające rozdawanie Klientkom próbek - przezroczysty pojemniczek z nakrętką (pojemność 10 ml).</p>","PL <p>Wykorzystaj nowe narzędzie ułatwiające rozdawanie Klientkom próbek - przezroczysty pojemniczek z nakrętką (pojemność 10 ml).</p>","Pojemniczek na próbki kosmetyków","PL Pojemniczek na próbki kosmetyków"
"ML038","<p>Dzięki próbce Twoje klientki mogą przetestować kosmetyk na własnej skórze i wybrać,  który balsam Senso najbardziej im odpowiada.</p>","PL <p>Dzięki próbce Twoje klientki mogą przetestować kosmetyk na własnej skórze i wybrać,  który balsam Senso najbardziej im odpowiada.</p>","Balsam do ciała Senso – migdałowy – próbka 2 ml – 1 szt.","PL Balsam do ciała Senso – migdałowy – próbka 2 ml – 1 szt."
"ML039","<p>Dzięki próbce Twoje klientki mogą przetestować kosmetyk na własnej skórze i wybrać,  który balsam Senso najbardziej im odpowiada.</p>","PL <p>Dzięki próbce Twoje klientki mogą przetestować kosmetyk na własnej skórze i wybrać,  który balsam Senso najbardziej im odpowiada.</p>","Balsam do ciała Senso – awokado - próbka 2 ml – 1 szt.","PL Balsam do ciała Senso – awokado - próbka 2 ml – 1 szt."
"ML058","<p>Zabierz go ze sobą i zrób niezbędne notatki gdzie tylko chcesz i kiedy tylko chcesz. Podręczny, niewielkich rozmiarów notes klejony, w którym zapiszesz swoje plany, pomysły i zamówienia od Klientów.</p><ul><li>Format: A5 (14,8 x 21 cm), 50 kart</li></ul>","PL <p>Zabierz go ze sobą i zrób niezbędne notatki gdzie tylko chcesz i kiedy tylko chcesz. Podręczny, niewielkich rozmiarów notes klejony, w którym zapiszesz swoje plany, pomysły i zamówienia od Klientów.</p><ul><li>Format: A5 (14,8 x 21 cm), 50 kart</li></ul>","Notes BetterStyle (50 str.) ","PL Notes BetterStyle (50 str.) "
